Country,Type,"IME,8","IME,11","DOE,8","DOE,11","DOE,12",lat,long
CHN,Reduction,0,0,15797.38,22047.96,5113.69,116.2,39.55
CHN,Cost,0,0,0.81,9,7.17,116.2,39.55
CHN,Benefit,0,0,0,0,0,116.2,39.55
IND,Reduction,0,0,0,11003.35,1789.08,77.13,23.37
IND,Cost,0,0,0,1.08,2.33,77.13,23.37
IND,Benefit,0,0,0,0,0,77.13,23.37
BRA,Reduction,0,1836.17,0,7487.49,877.39,-47.55,-15.47
BRA,Cost,0,0.19,0,0.86,0.49,-47.55,-15.47
BRA,Benefit,0,0,0,0,0,-47.55,-15.47
USA,Reduction,59.17,0,954.6,4599.56,1330.54,-100.02,39.91
USA,Cost,0,0,0,0.53,1.42,-100.02,39.91
USA,Benefit,2.71E-03,0,0.04,0,0,-100.02,39.91
RUS,Reduction,403.46,0,0,0,2455.88,37.35,55.45
RUS,Cost,0.03,0,0,0,3.59,37.35,55.45
RUS,Benefit,0,0,0,0,0,37.35,55.45
PAK,Reduction,0,0,0,2339.39,0,73.1,33.4
PAK,Cost,0,0,0,0.23,0,73.1,33.4
PAK,Benefit,0,0,0,0,0,73.1,33.4
BGD,Reduction,0,0,0,869.16,0,90.26,23.43
BGD,Cost,0,0,0,0.07,0,90.26,23.43
BGD,Benefit,0,0,0,0,0,90.26,23.43
AUS ,Reduction,433.96,0,0,0,0,145.08,-30.13
AUS ,Cost,0.02,0,0,0,0,145.08,-30.13
AUS ,Benefit,0,0,0,0,0,145.08,-30.13
NGA,Reduction,755.96,0,0,0,0,7.32,9.05
NGA,Cost,5.94E-02,0,0,0,0,7.32,9.05
NGA,Benefit,0,0,0,0,0,7.32,9.05
ZAF,Reduction,186.98,0,0,0,0,28.22,-25.7
ZAF,Cost,0.01,0,0,0,0,28.22,-25.7
ZAF,Benefit,0,0,0,0,0,28.22,-25.7
SAU,Reduction,281.72,0,0,0,0,46.42,24.41
SAU,Cost,0,0,0,0,0,46.42,24.41
SAU,Benefit,9.24E-03,0,0,0,0,46.42,24.41
MEX,Reduction,18.31,45.75,0,0,0,-99.1,19.2
MEX,Cost,0,0,0,0,0,-99.1,19.2
MEX,Benefit,1.62E-03,0,0,0,0,-99.1,19.2
IDN,Reduction,168.46,0,0,0,0,106.49,-6.09
IDN,Cost,0,0,0,0,0,106.49,-6.09
IDN,Benefit,1.85E-02,0,0,0,0,106.49,-6.09
CAN,Reduction,24.29,0,0,0,0,-100.42,60.27
CAN,Cost,0,0,0,0,0,-100.42,60.27
CAN,Benefit,5.71E-03,0,0,0,0,-100.42,60.27